Data,Hora,Pressao Atmosferica 1,Temperatura 1,Pressao Atmosferica 2,Temperatura 2
2024/05/09, 16:49, 956.9403,24.5897,956.4305,24.2790
2024/05/09, 16:49, 956.9523,24.5757,956.4236,24.2755
2024/05/09, 16:49, 956.9495,24.5744,956.4152,24.2791
2024/05/09, 16:49, 956.9447,24.5798,956.4163,24.2784
2024/05/09, 16:49, 956.9504,24.5904,956.4302,24.2880
2024/05/09, 16:49, 956.9391,24.6106,956.4275,24.3052
2024/05/09, 16:49, 956.9447,24.6234,956.4335,24.3112
2024/05/09, 16:50, 956.9542,24.6372,956.4299,24.3175
2024/05/09, 16:50, 956.9469,24.6412,956.4269,24.3166
2024/05/09, 16:50, 956.9537,24.6405,956.4340,24.3176
2024/05/09, 16:50, 956.9482,24.6338,956.4302,24.3141
2024/05/09, 16:50, 956.9564,24.6345,956.4370,24.3124
2024/05/09, 16:50, 956.9641,24.6370,956.4449,24.3165
2024/05/09, 16:50, 956.9728,24.6341,956.4494,24.3127
2024/05/09, 16:50, 956.9693,24.6244,956.4625,24.3034
2024/05/09, 16:50, 956.9568,24.6227,956.4484,24.3005
2024/05/09, 16:50, 956.9601,24.6389,956.4455,24.3108
2024/05/09, 16:50, 956.9613,24.6435,956.4431,24.3166
2024/05/09, 16:50, 956.9576,24.6418,956.4378,24.3154
2024/05/09, 16:51, 956.9545,24.6309,956.4247,24.3012
2024/05/09, 16:51, 956.9469,24.6232,956.4301,24.2911
2024/05/09, 16:51, 956.9483,24.6320,956.4319,24.2929
2024/05/09, 16:51, 956.9526,24.6338,956.4208,24.2933
2024/05/09, 16:51, 956.9602,24.6338,956.4252,24.2976
2024/05/09, 16:51, 956.9559,24.6355,956.4175,24.2976
2024/05/09, 16:51, 956.9598,24.6381,956.4214,24.2938
2024/05/09, 16:51, 956.9630,24.6372,956.4230,24.2949
2024/05/09, 16:51, 956.9698,24.6470,956.4266,24.3056
2024/05/09, 16:51, 956.9592,24.6437,956.4366,24.3113
2024/05/09, 16:51, 956.9592,24.6384,956.4311,24.3064
2024/05/09, 16:51, 956.9612,24.6306,956.4352,24.3036
2024/05/09, 16:52, 956.9624,24.6361,956.4230,24.3069
2024/05/09, 16:52, 956.9651,24.6422,956.4340,24.3099
2024/05/09, 16:52, 956.9714,24.6512,956.4438,24.3189
2024/05/09, 16:52, 956.9786,24.6544,956.4492,24.3285
2024/05/09, 16:52, 956.9698,24.6546,956.4420,24.3342
2024/05/09, 16:52, 956.9670,24.6483,956.4357,24.3318
2024/05/09, 16:52, 956.9679,24.6327,956.4384,24.3143
2024/05/09, 16:52, 956.9810,24.6025,956.4465,24.3014
2024/05/09, 16:52, 956.9810,24.5944,956.4549,24.2860
2024/05/09, 16:52, 956.9670,24.5971,956.4312,24.2699
2024/05/09, 16:52, 956.9637,24.5900,956.4299,24.2731
2024/05/09, 16:52, 956.9579,24.5995,956.4328,24.2721
2024/05/09, 16:53, 956.9692,24.6073,956.4250,24.2686
2024/05/09, 16:53, 956.9763,24.5989,956.4411,24.2727
2024/05/09, 16:53, 956.9677,24.5847,956.4498,24.2794
2024/05/09, 16:53, 956.9715,24.5719,956.4518,24.2904
2024/05/09, 16:53, 956.9612,24.5621,956.4286,24.2941
2024/05/09, 16:53, 956.9540,24.5698,956.4226,24.2943
2024/05/09, 16:53, 956.9537,24.5772,956.4250,24.3061
2024/05/09, 16:53, 956.9509,24.5862,956.4278,24.3197
2024/05/09, 16:53, 956.9479,24.5831,956.4152,24.3265
2024/05/09, 16:53, 956.9515,24.5909,956.4250,24.3241
2024/05/09, 16:53, 956.9546,24.5975,956.4214,24.3230
2024/05/09, 16:53, 956.9564,24.5770,956.4335,24.3124
2024/05/09, 16:54, 956.9572,24.5762,956.4291,24.3124
2024/05/09, 16:54, 956.9579,24.5879,956.4260,24.3087
2024/05/09, 16:54, 956.9675,24.5583,956.4205,24.2785
2024/05/09, 16:54, 956.9638,24.5569,956.4210,24.2655
2024/05/09, 16:54, 956.9606,24.5555,956.4341,24.2751
2024/05/09, 16:54, 956.9465,24.5519,956.4390,24.2781
2024/05/09, 16:54, 956.9449,24.5550,956.4340,24.2824
2024/05/09, 16:54, 956.9529,24.5492,956.4498,24.2878
2024/05/09, 16:54, 956.9540,24.5298,956.4473,24.2721
2024/05/09, 16:54, 956.9655,24.5029,956.4304,24.2573
2024/05/09, 16:54, 956.9590,24.5016,956.4398,24.2554
2024/05/09, 16:54, 956.9489,24.5200,956.4427,24.2663
2024/05/09, 16:55, 956.9415,24.5365,956.4360,24.2821
2024/05/09, 16:55, 956.9467,24.5370,956.4302,24.2962
2024/05/09, 16:55, 956.9504,24.5236,956.4324,24.2986
2024/05/09, 16:55, 956.9557,24.5141,956.4367,24.2978
2024/05/09, 16:55, 956.9451,24.4981,956.4305,24.2802
2024/05/09, 16:55, 956.9548,24.4777,956.4340,24.2577
2024/05/09, 16:55, 956.9515,24.4626,956.4369,24.2508
2024/05/09, 16:55, 956.9509,24.4705,956.4299,24.2512
2024/05/09, 16:55, 956.9394,24.4885,956.4272,24.2550
2024/05/09, 16:55, 956.9550,24.4951,956.4316,24.2590
2024/05/09, 16:55, 956.9661,24.4956,956.4426,24.2623
2024/05/09, 16:55, 956.9655,24.5041,956.4401,24.2679
2024/05/09, 16:56, 956.9478,24.5188,956.4267,24.2735
2024/05/09, 16:56, 956.9387,24.5070,956.4309,24.2581
2024/05/09, 16:56, 956.9471,24.4903,956.4165,24.2459
2024/05/09, 16:56, 956.9404,24.4691,956.4171,24.2358
2024/05/09, 16:56, 956.9462,24.4492,956.4160,24.2265
2024/05/09, 16:56, 956.9280,24.4152,956.4013,24.2126
2024/05/09, 16:56, 956.9272,24.4249,956.4047,24.2281
2024/05/09, 16:56, 956.9313,24.4301,956.4144,24.2440
2024/05/09, 16:56, 956.9168,24.4102,956.4018,24.2361
2024/05/09, 16:56, 956.9321,24.3857,956.4085,24.2194
2024/05/09, 16:56, 956.9372,24.3528,956.4009,24.1951
2024/05/09, 16:56, 956.9351,24.3610,956.4122,24.2016
2024/05/09, 16:57, 956.9387,24.3766,956.4252,24.2092
2024/05/09, 16:57, 956.9410,24.3867,956.4199,24.2084
2024/05/09, 16:57, 956.9221,24.3946,956.4191,24.2029
2024/05/09, 16:57, 956.9144,24.3920,956.4225,24.1949
2024/05/09, 16:57, 956.9235,24.3984,956.4109,24.1987
2024/05/09, 16:57, 956.9289,24.3955,956.4205,24.1983
2024/05/09, 16:57, 956.9310,24.3876,956.4111,24.1921
2024/05/09, 16:57, 956.9202,24.3836,956.4256,24.1897
