Data,Hora,Pressao Atmosferica,Temperatura,Altitude Primeira fórmula(S/T),Altitude Segunda fórmula(C/T)
2024/05/07, 09:53,957.6511,30.5261,473.52,499.05
2024/05/07, 09:53,957.6496,30.5538,473.54,499.11
2024/05/07, 09:53,957.6395,30.5791,473.62,499.24
2024/05/07, 09:53,957.6329,30.6057,473.68,499.34
2024/05/07, 09:53,957.6193,30.632,473.8,499.51
2024/05/07, 09:53,957.6221,30.6588,473.78,499.53
2024/05/07, 09:53,957.6288,30.685,473.72,499.51
2024/05/07, 09:53,957.6208,30.7084,473.79,499.62
2024/05/07, 09:53,957.6106,30.7302,473.88,499.75
2024/05/07, 09:53,957.603,30.7526,473.94,499.86
2024/05/07, 09:53,957.6094,30.7752,473.89,499.84
2024/05/07, 09:54,957.6119,30.7996,473.87,499.86
2024/05/07, 09:54,957.6219,30.8278,473.78,499.81
2024/05/07, 09:54,957.6293,30.8517,473.71,499.78
2024/05/07, 09:54,957.6208,30.8739,473.79,499.9
2024/05/07, 09:54,957.6296,30.8974,473.71,499.85
2024/05/07, 09:54,957.6353,30.9198,473.66,499.84
2024/05/07, 09:54,957.633,30.9416,473.68,499.9
2024/05/07, 09:54,957.6322,30.9636,473.69,499.94
2024/05/07, 09:54,957.6317,30.9829,473.69,499.98
2024/05/07, 09:54,957.6386,31.0045,473.63,499.95
2024/05/07, 09:54,957.6411,31.0252,473.61,499.96
2024/05/07, 09:54,957.6509,31.0457,473.53,499.9
2024/05/07, 09:55,957.6297,31.0653,473.71,500.13
2024/05/07, 09:55,957.6062,31.0841,473.91,500.38
2024/05/07, 09:55,957.5784,31.1022,474.16,500.66
2024/05/07, 09:55,957.5684,31.1205,474.24,500.78
2024/05/07, 09:55,957.5703,31.139,474.23,500.8
2024/05/07, 09:55,957.5792,31.1584,474.15,500.75
2024/05/07, 09:55,957.5773,31.1775,474.17,500.8
2024/05/07, 09:55,957.5735,31.1934,474.2,500.86
2024/05/07, 09:55,957.5759,31.21,474.18,500.86
2024/05/07, 09:55,957.5887,31.2284,474.07,500.78
2024/05/07, 09:55,957.5969,31.2501,474.0,500.74
2024/05/07, 09:55,957.5956,31.2698,474.01,500.78
2024/05/07, 09:56,957.6029,31.2909,473.94,500.75
2024/05/07, 09:56,957.5862,31.307,474.09,500.93
2024/05/07, 09:56,957.5931,31.3237,474.03,500.89
2024/05/07, 09:56,957.6074,31.3404,473.9,500.79
2024/05/07, 09:56,957.6163,31.3575,473.83,500.73
2024/05/07, 09:56,957.6167,31.3749,473.82,500.76
2024/05/07, 09:56,957.6047,31.3904,473.93,500.89
2024/05/07, 09:56,957.5977,31.4069,473.99,500.99
2024/05/07, 09:56,957.6113,31.4241,473.87,500.89
2024/05/07, 09:56,957.6071,31.4415,473.91,500.96
2024/05/07, 09:56,957.6132,31.4631,473.85,500.94
2024/05/07, 09:56,957.6149,31.4823,473.84,500.95
2024/05/07, 09:57,957.6007,31.5002,473.96,501.11
2024/05/07, 09:57,957.599,31.5204,473.98,501.16
2024/05/07, 09:57,957.5969,31.5383,474.0,501.21
2024/05/07, 09:57,957.5976,31.557,473.99,501.23
2024/05/07, 09:57,957.5943,31.577,474.02,501.3
