Date,Time,Atmospheric pressure,Temperature
2024/05/07, 09:53, 957.6511, 30.5261
2024/05/07, 09:53, 957.6496, 30.5538
2024/05/07, 09:53, 957.6395, 30.5791
2024/05/07, 09:53, 957.6329, 30.6057
2024/05/07, 09:53, 957.6193, 30.6320
2024/05/07, 09:53, 957.6221, 30.6588
2024/05/07, 09:53, 957.6288, 30.6850
2024/05/07, 09:53, 957.6208, 30.7084
2024/05/07, 09:53, 957.6106, 30.7302
2024/05/07, 09:53, 957.6030, 30.7526
2024/05/07, 09:53, 957.6094, 30.7752
2024/05/07, 09:54, 957.6119, 30.7996
2024/05/07, 09:54, 957.6219, 30.8278
2024/05/07, 09:54, 957.6293, 30.8517
2024/05/07, 09:54, 957.6208, 30.8739
2024/05/07, 09:54, 957.6296, 30.8974
2024/05/07, 09:54, 957.6353, 30.9198
2024/05/07, 09:54, 957.6330, 30.9416
2024/05/07, 09:54, 957.6322, 30.9636
2024/05/07, 09:54, 957.6317, 30.9829
2024/05/07, 09:54, 957.6386, 31.0045
2024/05/07, 09:54, 957.6411, 31.0252
2024/05/07, 09:54, 957.6509, 31.0457
2024/05/07, 09:55, 957.6297, 31.0653
2024/05/07, 09:55, 957.6062, 31.0841
2024/05/07, 09:55, 957.5784, 31.1022
2024/05/07, 09:55, 957.5684, 31.1205
2024/05/07, 09:55, 957.5703, 31.1390
2024/05/07, 09:55, 957.5792, 31.1584
2024/05/07, 09:55, 957.5773, 31.1775
2024/05/07, 09:55, 957.5735, 31.1934
2024/05/07, 09:55, 957.5759, 31.2100
2024/05/07, 09:55, 957.5887, 31.2284
2024/05/07, 09:55, 957.5969, 31.2501
2024/05/07, 09:55, 957.5956, 31.2698
2024/05/07, 09:56, 957.6029, 31.2909
2024/05/07, 09:56, 957.5862, 31.3070
2024/05/07, 09:56, 957.5931, 31.3237
2024/05/07, 09:56, 957.6074, 31.3404
2024/05/07, 09:56, 957.6163, 31.3575
2024/05/07, 09:56, 957.6167, 31.3749
2024/05/07, 09:56, 957.6047, 31.3904
2024/05/07, 09:56, 957.5977, 31.4069
2024/05/07, 09:56, 957.6113, 31.4241
2024/05/07, 09:56, 957.6071, 31.4415
2024/05/07, 09:56, 957.6132, 31.4631
2024/05/07, 09:56, 957.6149, 31.4823
2024/05/07, 09:57, 957.6007, 31.5002
2024/05/07, 09:57, 957.5990, 31.5204
2024/05/07, 09:57, 957.5969, 31.5383
2024/05/07, 09:57, 957.5976, 31.5570
2024/05/07, 09:57, 957.5943, 31.5770
2024/05/07, 09:57, 957.6023, 31.5954
2024/05/07, 09:57, 957.6096, 31.6131
